Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1161236,0,-0.2568672,0,-0.1161236,0
1,-0.1161236,0,-0.1958271,0,-0.1161236,0
2,-0.107853,0,-0.1922807,0,-0.107853,0
3,-0.09532164,0,-0.1673225,0,-0.09532164,0
4,-0.08162072,0,-0.1357644,0,-0.08162072,0
5,-0.0770259,0,-0.1195029,0,-0.0770259,0
6,-0.07343359,0,-0.091203,0,-0.07343359,0
7,-0.07335004,0,-0.1010568,0,-0.07335004,0
8,-0.07309942,0,-0.08417711,0,-0.07309942,0
9,-0.06608187,0,-0.09211362,0,-0.06608187,0
10,-0.06608187,0,-0.1016082,0,-0.06608187,0
11,-0.06073517,0,-0.09119466,0,-0.06073517,0
12,-0.06073517,0,-0.09632415,0,-0.06073517,0
13,-0.06073517,0,-0.0850585,0,-0.06073517,0
14,-0.0540518,0,-0.07624478,0,-0.0540518,0
15,-0.0540518,0,-0.1134378,0,-0.0540518,0
16,-0.05380117,0,-0.073868,0,-0.05380117,0
17,-0.05388471,0,-0.07464912,0,-0.05380117,0
18,-0.05338346,0,-0.06458229,0,-0.05338346,0
19,-0.05321638,0,-0.09120718,0,-0.05321638,0
20,-0.05296575,0,-0.1038304,0,-0.05296575,0
21,-0.05296575,0,-0.0807853,0,-0.05296575,0
22,-0.05296575,0,-0.1007978,0,-0.05296575,0
23,-0.05296575,0,-0.07255638,0,-0.05296575,0
24,-0.05271512,0,-0.1386633,0,-0.05271512,0
25,-0.05229741,0,-0.07467419,0,-0.05229741,0
26,-0.05137845,0,-0.08888472,0,-0.05137845,0
27,-0.0502924,0,-0.09732248,0,-0.0502924,0
28,-0.0502924,0,-0.08265246,0,-0.0502924,0
29,-0.05004177,0,-0.0586132,0,-0.05004177,0
30,-0.05004177,0,-0.09218464,0,-0.05004177,0
31,-0.04928989,0,-0.0759315,0,-0.04928989,0
32,-0.04928989,0,-0.06421053,0,-0.04928989,0
33,-0.04928989,0,-0.07818713,0,-0.04928989,0
34,-0.04928989,0,-0.08593567,0,-0.04928989,0
35,-0.04928989,0,-0.09034669,0,-0.04928989,0
36,-0.04928989,0,-0.07756893,0,-0.04928989,0
37,-0.04853801,0,-0.09016291,0,-0.04853801,0
38,-0.04853801,0,-0.06319967,0,-0.04853801,0
39,-0.04853801,0,-0.08129491,0,-0.04853801,0
40,-0.04853801,0,-0.05855473,0,-0.04853801,0
41,-0.04853801,0,-0.07459482,0,-0.04853801,0
42,-0.04853801,0,-0.08552632,0,-0.04853801,0
43,-0.04720134,0,-0.06476609,0,-0.04720134,0
44,-0.04720134,0,-0.06954888,0,-0.04720134,0
45,-0.04720134,0,-0.1096575,0,-0.04720134,0
46,-0.04720134,0,-0.0842147,0,-0.04720134,0
47,-0.04695071,0,-0.07023392,0,-0.04695071,0
48,-0.04695071,0,-0.05464494,0,-0.04695071,0
49,-0.04686717,0,-0.07151629,0,-0.04686717,0
50,-0.04686717,0,-0.08527987,0,-0.04686717,0
51,-0.04695071,0,-0.06874688,0,-0.04686717,0
52,-0.04695071,0,-0.1124938,0,-0.04686717,0
53,-0.04686717,0,-0.07276942,0,-0.04686717,0
54,-0.04686717,0,-0.0863158,0,-0.04686717,0
55,-0.04686717,0,-0.09020884,0,-0.04686717,0
56,-0.04695071,0,-0.1242439,0,-0.04686717,0
57,-0.046533,0,-0.07326651,0,-0.046533,0
58,-0.046533,0,-0.06874687,0,-0.046533,0
59,-0.046533,0,-0.07687553,0,-0.046533,0
60,-0.04644946,0,-0.1197661,0,-0.04644946,0
61,-0.046533,0,-0.1198872,0,-0.04644946,0
62,-0.046533,0,-0.08419799,0,-0.04644946,0
63,-0.046533,0,-0.06908104,0,-0.04644946,0
64,-0.04603175,0,-0.09804095,0,-0.04603175,0
65,-0.04603175,0,-0.08286132,0,-0.04603175,0
66,-0.04603175,0,-0.07219298,0,-0.04603175,0
67,-0.04603175,0,-0.05863827,0,-0.04603175,0
68,-0.04444445,0,-0.07422723,0,-0.04444445,0
69,-0.04344194,0,-0.0713325,0,-0.04344194,0
70,-0.0433584,0,-0.07522558,0,-0.0433584,0
71,-0.04344194,0,-0.07828321,0,-0.0433584,0
72,-0.04243943,0,-0.06752297,0,-0.04243943,0
73,-0.04243943,0,-0.06847954,0,-0.04243943,0
74,-0.04243943,0,-0.05989558,0,-0.04243943,0
75,-0.04243943,0,-0.05704678,0,-0.04243943,0
76,-0.04243943,0,-0.0732665,0,-0.04243943,0
77,-0.04243943,0,-0.06220133,0,-0.04243943,0
78,-0.04243943,0,-0.08475773,0,-0.04243943,0
79,-0.04243943,0,-0.07597326,0,-0.04243943,0
80,-0.04243943,0,-0.05693401,0,-0.04243943,0
81,-0.04243943,0,-0.08086048,0,-0.04243943,0
82,-0.04243943,0,-0.06793232,0,-0.04243943,0
83,-0.04243943,0,-0.07218881,0,-0.04243943,0
84,-0.0421888,0,-0.05762741,0,-0.0421888,0
85,-0.0421888,0,-0.06257728,0,-0.0421888,0
86,-0.04160401,0,-0.06969089,0,-0.04160401,0
87,-0.04152047,0,-0.08523809,0,-0.04152047,0
88,-0.04152047,0,-0.0931579,0,-0.04152047,0
89,-0.04152047,0,-0.1186926,0,-0.04152047,0
90,-0.04152047,0,-0.08438595,0,-0.04152047,0
91,-0.04076859,0,-0.08861738,0,-0.04076859,0
92,-0.04076859,0,-0.08029658,0,-0.04076859,0
93,-0.04076859,0,-0.08111112,0,-0.04076859,0
94,-0.04076859,0,-0.09463242,0,-0.04076859,0
95,-0.04051796,0,-0.05564745,0,-0.04051796,0
96,-0.03984962,0,-0.0524102,0,-0.03984962,0
97,-0.03968254,0,-0.07441938,0,-0.03968254,0
98,-0.03976608,0,-0.05883876,0,-0.03968254,0
99,-0.03968254,0,-0.0851086,0,-0.03968254,0
100,-0.03968254,0,-0.0851086,0,-0.03968254,0

