Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1359041,0,-0.255555,0,-0.1359041,0
1,-0.1359041,0,-0.2092131,0,-0.1359041,0
2,-0.1121417,0,-0.1941428,0,-0.1121417,0
3,-0.09213132,0,-0.16,0,-0.09213132,0
4,-0.09140177,0,-0.1634236,0,-0.09140177,0
5,-0.08619072,0,-0.1203075,0,-0.08619072,0
6,-0.08285566,0,-0.09842105,0,-0.08285566,0
7,-0.08150078,0,-0.0880146,0,-0.08150078,0
8,-0.07816571,0,-0.08520584,0,-0.07816571,0
9,-0.07754038,0,-0.08202709,0,-0.07754038,0
10,-0.07274622,0,-0.07968733,0,-0.07274622,0
11,-0.07274622,0,-0.08122981,0,-0.07274622,0
12,-0.07128713,0,-0.07593018,0,-0.07128713,0
13,-0.07003648,0,-0.07515372,0,-0.07003648,0
14,-0.06836894,0,-0.0728296,0,-0.06836894,0
15,-0.06836894,0,-0.07237102,0,-0.06836894,0
16,-0.06680563,0,-0.0710422,0,-0.06680563,0
17,-0.06659719,0,-0.08050547,0,-0.06659719,0
18,-0.06659719,0,-0.0695727,0,-0.06659719,0
19,-0.06607608,0,-0.0687702,0,-0.06607608,0
20,-0.0642001,0,-0.06862949,0,-0.0642001,0
21,-0.06294946,0,-0.07343929,0,-0.06294946,0
22,-0.06055237,0,-0.0658937,0,-0.06055237,0
23,-0.06055237,0,-0.0642001,0,-0.06055237,0
24,-0.06044815,0,-0.07610213,0,-0.06044815,0
25,-0.05878061,0,-0.08148515,0,-0.05878061,0
26,-0.05878061,0,-0.06183429,0,-0.05878061,0
27,-0.05878061,0,-0.07739449,0,-0.05878061,0
28,-0.05805107,0,-0.06879103,0,-0.05805107,0
29,-0.05700886,0,-0.06101615,0,-0.05700886,0
30,-0.05700886,0,-0.06321,0,-0.05700886,0
31,-0.05700886,0,-0.06244919,0,-0.05700886,0
32,-0.05659198,0,-0.05972381,0,-0.05659198,0
33,-0.0566962,0,-0.09823866,0,-0.05659198,0
34,-0.05596665,0,-0.07194893,0,-0.05596665,0
35,-0.05596665,0,-0.07397602,0,-0.05596665,0
36,-0.05534133,0,-0.0606149,0,-0.05534133,0
37,-0.05534133,0,-0.05852528,0,-0.05534133,0
38,-0.05429912,0,-0.0571704,0,-0.05429912,0
39,-0.05304846,0,-0.08734758,0,-0.05304846,0
40,-0.05304846,0,-0.05835851,0,-0.05304846,0
41,-0.05231892,0,-0.06742574,0,-0.05231892,0
42,-0.05138093,0,-0.0582074,0,-0.05138093,0
43,-0.05138093,0,-0.05654508,0,-0.05138093,0
44,-0.04783742,0,-0.05431475,0,-0.04783742,0
45,-0.04783742,0,-0.05803544,0,-0.04783742,0
46,-0.04742053,0,-0.07116728,0,-0.04742053,0
47,-0.04293903,0,-0.07015112,0,-0.04293903,0
48,-0.04002085,0,-0.06319959,0,-0.04002085,0
49,-0.04095883,0,-0.04996873,0,-0.04002085,0
50,-0.04085461,0,-0.06452841,0,-0.04002085,0
51,-0.04033351,0,-0.06423137,0,-0.04002085,0
52,-0.03835331,0,-0.05484628,0,-0.03835331,0
53,-0.03887441,0,-0.05598228,0,-0.03835331,0
54,-0.03762376,0,-0.0578322,0,-0.03762376,0
55,-0.03741532,0,-0.05257947,0,-0.03741532,0
56,-0.03741532,0,-0.0534445,0,-0.03741532,0
57,-0.03804065,0,-0.04941115,0,-0.03741532,0
58,-0.03804065,0,-0.05823866,0,-0.03741532,0
59,-0.03804065,0,-0.05865033,0,-0.03741532,0
60,-0.03741532,0,-0.04499739,0,-0.03741532,0
61,-0.03772799,0,-0.06397603,0,-0.03741532,0
62,-0.03793643,0,-0.05308494,0,-0.03741532,0
63,-0.0378322,0,-0.06323083,0,-0.03741532,0
64,-0.03741532,0,-0.04927045,0,-0.03741532,0
65,-0.03804065,0,-0.07821782,0,-0.03741532,0
66,-0.03804065,0,-0.05108911,0,-0.03741532,0
67,-0.03741532,0,-0.06922356,0,-0.03741532,0
68,-0.03741532,0,-0.0696248,0,-0.03741532,0
69,-0.0378322,0,-0.05966649,0,-0.03741532,0
70,-0.03710266,0,-0.06379886,0,-0.03710266,0
71,-0.03658155,0,-0.08917665,0,-0.03658155,0
72,-0.03741532,0,-0.05612298,0,-0.03658155,0
73,-0.03668578,0,-0.07041689,0,-0.03658155,0
74,-0.03668578,0,-0.05078688,0,-0.03658155,0
75,-0.03668578,0,-0.07014592,0,-0.03658155,0
76,-0.03658155,0,-0.05196978,0,-0.03658155,0
77,-0.03647733,0,-0.06133403,0,-0.03647733,0
78,-0.03647733,0,-0.08015113,0,-0.03647733,0
79,-0.03647733,0,-0.07796247,0,-0.03647733,0
80,-0.03647733,0,-0.07357477,0,-0.03647733,0
81,-0.03647733,0,-0.05250651,0,-0.03647733,0
82,-0.03647733,0,-0.04932778,0,-0.03647733,0
83,-0.03647733,0,-0.05312663,0,-0.03647733,0
84,-0.03647733,0,-0.08021887,0,-0.03647733,0
85,-0.03647733,0,-0.05907764,0,-0.03647733,0
86,-0.03647733,0,-0.04511204,0,-0.03647733,0
87,-0.03647733,0,-0.05084419,0,-0.03647733,0
88,-0.03647733,0,-0.05546118,0,-0.03647733,0
89,-0.03647733,0,-0.09749871,0,-0.03647733,0
90,-0.03647733,0,-0.07832205,0,-0.03647733,0
91,-0.03647733,0,-0.07026576,0,-0.03647733,0
92,-0.03647733,0,-0.05113601,0,-0.03647733,0
93,-0.03626889,0,-0.06710787,0,-0.03626889,0
94,-0.03626889,0,-0.04624805,0,-0.03626889,0
95,-0.03626889,0,-0.06669099,0,-0.03626889,0
96,-0.03637311,0,-0.0702814,0,-0.03626889,0
97,-0.03626889,0,-0.06852528,0,-0.03626889,0
98,-0.03626889,0,-0.04644085,0,-0.03626889,0
99,-0.03626889,0,-0.0547681,0,-0.03626889,0
100,-0.03626889,0,-0.0547681,0,-0.03626889,0

