Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1359041,0,-0.255555,0,-0.1359041,0
1,-0.1359041,0,-0.2095414,0,-0.1359041,0
2,-0.1359041,0,-0.204221,0,-0.1359041,0
3,-0.1359041,0,-0.1714799,0,-0.1359041,0
4,-0.1078687,0,-0.1570088,0,-0.1078687,0
5,-0.1024492,0,-0.1619333,0,-0.1024492,0
6,-0.0841063,0,-0.1485409,0,-0.0841063,0
7,-0.07253778,0,-0.1072798,0,-0.07253778,0
8,-0.07107869,0,-0.08520584,0,-0.07107869,0
9,-0.07118291,0,-0.07893695,0,-0.07107869,0
10,-0.07118291,0,-0.07403857,0,-0.07107869,0
11,-0.07107869,0,-0.07324128,0,-0.07107869,0
12,-0.07076602,0,-0.07159978,0,-0.07076602,0
13,-0.07076602,0,-0.07465868,0,-0.07076602,0
14,-0.07076602,0,-0.0731631,0,-0.07076602,0
15,-0.07076602,0,-0.07317352,0,-0.07076602,0
16,-0.07076602,0,-0.07136528,0,-0.07076602,0
17,-0.07076602,0,-0.07187076,0,-0.07076602,0
18,-0.07076602,0,-0.07292339,0,-0.07076602,0
19,-0.07066181,0,-0.07348098,0,-0.07066181,0
20,-0.06982803,0,-0.07153203,0,-0.06982803,0
21,-0.06982803,0,-0.07095883,0,-0.06982803,0
22,-0.06576342,0,-0.07041688,0,-0.06576342,0
23,-0.06576342,0,-0.07030745,0,-0.06576342,0
24,-0.06013549,0,-0.07116728,0,-0.06013549,0
25,-0.05878061,0,-0.06635748,0,-0.05878061,0
26,-0.05659198,0,-0.06208963,0,-0.05659198,0
27,-0.0566962,0,-0.0644346,0,-0.05659198,0
28,-0.05659198,0,-0.0713184,0,-0.05659198,0
29,-0.05617509,0,-0.07083899,0,-0.05617509,0
30,-0.05565399,0,-0.06920792,0,-0.05565399,0
31,-0.05419489,0,-0.06312662,0,-0.05419489,0
32,-0.05419489,0,-0.05672225,0,-0.05419489,0
33,-0.05336113,0,-0.09401251,0,-0.05336113,0
34,-0.05336113,0,-0.0791506,0,-0.05336113,0
35,-0.05336113,0,-0.06190724,0,-0.05336113,0
36,-0.05336113,0,-0.06810318,0,-0.05336113,0
37,-0.05325691,0,-0.07392912,0,-0.05325691,0
38,-0.05325691,0,-0.09195415,0,-0.05325691,0
39,-0.05315268,0,-0.06608652,0,-0.05315268,0
40,-0.05315268,0,-0.08742053,0,-0.05315268,0
41,-0.05304846,0,-0.0624961,0,-0.05304846,0
42,-0.05117249,0,-0.06394476,0,-0.05117249,0
43,-0.05117249,0,-0.09526837,0,-0.05117249,0
44,-0.05013028,0,-0.1012298,0,-0.05013028,0
45,-0.05013028,0,-0.08622721,0,-0.05013028,0
46,-0.05013028,0,-0.08734237,0,-0.05013028,0
