Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1359041,0,-0.255555,0,-0.1359041,0
1,-0.1359041,0,-0.2227879,0,-0.1359041,0
2,-0.1207921,0,-0.1818708,0,-0.1207921,0
3,-0.1208963,0,-0.1641741,0,-0.1207921,0
4,-0.1207921,0,-0.2102084,0,-0.1207921,0
5,-0.08775404,0,-0.1720167,0,-0.08775404,0
6,-0.08327254,0,-0.1675143,0,-0.08327254,0
7,-0.07180823,0,-0.1173945,0,-0.07180823,0
8,-0.07170402,0,-0.1187337,0,-0.07170402,0
9,-0.06909849,0,-0.1114122,0,-0.06909849,0
10,-0.06868161,0,-0.07953621,0,-0.06868161,0
11,-0.06545076,0,-0.08492965,0,-0.06545076,0
12,-0.06576342,0,-0.07847838,0,-0.06545076,0
13,-0.06357478,0,-0.08367379,0,-0.06357478,0
14,-0.06336634,0,-0.08051588,0,-0.06336634,0
15,-0.06294946,0,-0.1124336,0,-0.06294946,0
16,-0.06284523,0,-0.1310631,0,-0.06284523,0
17,-0.05690464,0,-0.1017978,0,-0.05690464,0
18,-0.05680042,0,-0.09326212,0,-0.05680042,0
19,-0.05565399,0,-0.08532047,0,-0.05565399,0
20,-0.05575821,0,-0.1142991,0,-0.05565399,0
21,-0.05586243,0,-0.09614383,0,-0.05565399,0
22,-0.05502866,0,-0.1149818,0,-0.05502866,0
23,-0.05304846,0,-0.1088692,0,-0.05304846,0
24,-0.05304846,0,-0.09109432,0,-0.05304846,0
25,-0.05211047,0,-0.1294268,0,-0.05211047,0
26,-0.05085982,0,-0.07832204,0,-0.05085982,0
27,-0.05085982,0,-0.08983324,0,-0.05085982,0
28,-0.05065138,0,-0.09517457,0,-0.05065138,0
29,-0.0507556,0,-0.09707139,0,-0.05065138,0
30,-0.0507556,0,-0.08043252,0,-0.05065138,0
31,-0.05054716,0,-0.09114122,0,-0.05054716,0
32,-0.05054716,0,-0.1142678,0,-0.05054716,0
33,-0.0507556,0,-0.07655028,0,-0.05054716,0
34,-0.0507556,0,-0.0919802,0,-0.05054716,0
35,-0.0507556,0,-0.1040959,0,-0.05054716,0
36,-0.05054716,0,-0.09455446,0,-0.05054716,0
37,-0.05002606,0,-0.1101407,0,-0.05002606,0
38,-0.05002606,0,-0.09161542,0,-0.05002606,0
39,-0.05002606,0,-0.1225795,0,-0.05002606,0
40,-0.05002606,0,-0.1311516,0,-0.05002606,0
41,-0.05002606,0,-0.1037676,0,-0.05002606,0
42,-0.05002606,0,-0.08177175,0,-0.05002606,0
43,-0.05002606,0,-0.0700938,0,-0.05002606,0
44,-0.05002606,0,-0.1178895,0,-0.05002606,0
45,-0.05002606,0,-0.09914017,0,-0.05002606,0
46,-0.05002606,0,-0.07758208,0,-0.05002606,0
