Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1359041,0,-0.255555,0,-0.1359041,0
1,-0.101407,0,-0.2058728,0,-0.101407,0
2,-0.09286086,0,-0.1906931,0,-0.09286086,0
3,-0.08587806,0,-0.1317196,0,-0.08587806,0
4,-0.07879104,0,-0.1056592,0,-0.07879104,0
5,-0.07879104,0,-0.09553935,0,-0.07879104,0
6,-0.07847837,0,-0.09383012,0,-0.07847837,0
7,-0.06086503,0,-0.09697761,0,-0.06086503,0
8,-0.06065659,0,-0.07229287,0,-0.06065659,0
9,-0.06055237,0,-0.07653987,0,-0.06055237,0
10,-0.05951016,0,-0.06508077,0,-0.05951016,0
11,-0.05951016,0,-0.1128765,0,-0.05951016,0
12,-0.0586764,0,-0.09723294,0,-0.0586764,0
13,-0.05878061,0,-0.07636791,0,-0.0586764,0
14,-0.05732152,0,-0.09482021,0,-0.05732152,0
15,-0.05732152,0,-0.08828036,0,-0.05732152,0
16,-0.05711308,0,-0.08620636,0,-0.05711308,0
17,-0.05554977,0,-0.08944763,0,-0.05554977,0
18,-0.05502866,0,-0.06621677,0,-0.05502866,0
19,-0.05315268,0,-0.08962481,0,-0.05315268,0
20,-0.05315268,0,-0.06223555,0,-0.05315268,0
21,-0.05127671,0,-0.08640959,0,-0.05127671,0
22,-0.04960917,0,-0.08550808,0,-0.04960917,0
23,-0.04981761,0,-0.08577906,0,-0.04960917,0
24,-0.04815008,0,-0.05656592,0,-0.04815008,0
25,-0.04752475,0,-0.06547682,0,-0.04752475,0
26,-0.04637832,0,-0.05831684,0,-0.04637832,0
27,-0.04544033,0,-0.0978322,0,-0.04544033,0
28,-0.04544033,0,-0.08832205,0,-0.04544033,0
29,-0.04523189,0,-0.1013288,0,-0.04523189,0
30,-0.04523189,0,-0.08491923,0,-0.04523189,0
31,-0.04533611,0,-0.06657113,0,-0.04523189,0
32,-0.04502345,0,-0.07285566,0,-0.04502345,0
33,-0.04523189,0,-0.09313705,0,-0.04502345,0
34,-0.0442939,0,-0.09616987,0,-0.0442939,0
35,-0.04418968,0,-0.109729,0,-0.04418968,0
36,-0.04418968,0,-0.1149297,0,-0.04418968,0
37,-0.0442939,0,-0.09273581,0,-0.04418968,0
38,-0.0442939,0,-0.1289578,0,-0.04418968,0
39,-0.0442939,0,-0.08476811,0,-0.04418968,0
40,-0.04418968,0,-0.09668057,0,-0.04418968,0
41,-0.0442939,0,-0.08525795,0,-0.04418968,0
42,-0.03970818,0,-0.1098801,0,-0.03970818,0
43,-0.03970818,0,-0.09549244,0,-0.03970818,0
44,-0.03949974,0,-0.09497656,0,-0.03949974,0
45,-0.03970818,0,-0.07652944,0,-0.03949974,0
46,-0.03970818,0,-0.09254299,0,-0.03949974,0
47,-0.03949974,0,-0.1066337,0,-0.03949974,0
48,-0.03949974,0,-0.1017301,0,-0.03949974,0
49,-0.03970818,0,-0.1051641,0,-0.03949974,0
50,-0.03970818,0,-0.09631058,0,-0.03949974,0
51,-0.03949974,0,-0.1370349,0,-0.03949974,0
52,-0.03949974,0,-0.1162064,0,-0.03949974,0
53,-0.03970818,0,-0.08341324,0,-0.03949974,0
54,-0.03970818,0,-0.1480406,0,-0.03949974,0
55,-0.03970818,0,-0.1079781,0,-0.03949974,0
56,-0.03762376,0,-0.1144554,0,-0.03762376,0
57,-0.0378322,0,-0.08007817,0,-0.03762376,0
58,-0.0378322,0,-0.1042783,0,-0.03762376,0
